practice_code,list_size,pct_65plus,patients_per_gp,imd_score,region,rural,pct_same_day,pct_wait_15plus
P80000,10255,23.6,2360,15.7,South West,1,43.8,27.4
P80001,7465,29.5,2170,41.8,South West,0,28.7,29.3
P80002,11059,9.6,1824,26.4,Midlands,1,43.9,23.2
P80003,17132,21.4,1541,6.6,London,0,28.5,28.2
P80004,7116,14.1,2079,5.8,Midlands,0,43.5,14.8
P80005,7116,15.1,1957,18.7,Midlands,0,44.7,19.7
P80006,17620,14.4,2158,39.9,North West,0,31.6,21.6
P80007,11741,12.8,2054,36.3,North East,0,36.9,26.8
P80008,6326,18.3,2220,40.1,East,1,49.9,18.3
P80009,10493,13.0,1586,27.3,South East,0,38.0,23.8
P80010,6345,19.6,2327,23.7,South East,0,30.1,29.0
P80011,6338,17.7,1879,9.9,South East,0,50.3,23.2
P80012,9028,16.6,2630,18.4,London,0,42.0,29.1
P80013,3073,12.6,1524,23.4,South West,1,44.9,14.3
P80014,3376,14.5,2494,7.2,South East,1,45.4,18.2
P80015,6039,22.5,1879,13.4,Yorkshire,0,49.8,25.2
P80016,4821,21.0,1539,31.1,Midlands,0,37.6,23.2
P80017,9361,12.1,1606,37.6,South West,0,36.5,21.7
P80018,5080,18.6,1672,49.9,Midlands,1,48.8,18.8
P80019,3948,22.5,1970,46.9,London,0,43.1,18.2
P80020,16647,8.0,2009,33.2,East,0,39.5,19.6
P80021,7146,21.3,1571,22.8,Midlands,1,40.6,25.2
P80022,8274,14.0,1790,32.9,East,0,50.8,17.1
P80023,3923,21.4,2657,39.9,South West,1,32.0,25.1
P80024,6093,13.4,2491,8.6,Yorkshire,0,34.0,27.8
P80025,8456,7.2,1975,22.3,Yorkshire,0,39.7,17.9
P80026,4499,8.2,1815,42.5,Midlands,0,45.9,24.4
P80027,9653,18.3,1848,21.0,Midlands,1,48.6,22.8
P80028,5924,19.6,2045,29.9,Midlands,1,43.5,20.7
P80029,6914,12.6,1391,30.6,South East,0,44.9,31.6
P80030,5921,21.8,1697,11.7,South West,0,43.6,12.6
P80031,20197,8.0,1133,20.0,London,0,44.1,25.7
P80032,7946,17.6,1960,18.7,East,1,27.5,18.8
P80033,4714,10.7,2059,4.2,Midlands,0,37.9,24.6
P80034,12069,14.1,1607,4.1,South East,0,45.2,20.7
P80035,4344,18.3,2430,42.1,Yorkshire,0,26.3,22.8
P80036,8880,12.8,1310,15.8,Yorkshire,1,49.9,17.4
P80037,3002,15.7,1214,27.3,North West,0,43.1,11.3
P80038,4117,24.0,1890,17.0,Midlands,0,52.0,22.8
P80039,8827,14.5,2219,47.2,Yorkshire,0,43.2,26.6
P80040,11573,23.0,2474,15.2,London,1,33.0,26.8
P80041,8715,11.2,1616,23.2,North East,0,40.1,25.0
P80042,7550,21.2,2231,44.0,London,0,30.6,29.0
P80043,6881,26.6,1785,42.6,North East,1,39.9,20.3
P80044,3819,5.0,1731,11.7,South East,0,41.7,17.6
P80045,5581,13.2,2153,40.7,Yorkshire,0,30.3,21.9
P80046,6354,21.5,2061,24.5,Yorkshire,0,32.0,26.9
P80047,13571,16.8,1169,25.7,London,1,47.8,25.0
P80048,9499,20.2,2391,9.3,East,0,41.6,21.7
P80049,3313,14.4,2352,6.8,Yorkshire,1,35.7,21.0
P80050,9407,18.5,1550,37.2,East,0,46.3,17.3
P80051,6598,17.1,1958,26.3,Yorkshire,0,34.9,26.9
P80052,5702,25.0,1998,23.5,Midlands,0,41.5,24.0
P80053,10862,19.5,1904,37.3,South West,1,46.1,28.3
P80054,13395,20.0,1580,39.0,South East,0,40.5,17.5
P80055,12744,15.5,1531,10.5,South East,1,49.6,15.4
P80056,5258,15.1,1790,31.7,North West,0,36.0,22.9
P80057,6854,15.4,2269,9.4,South West,0,36.9,25.1
P80058,9441,20.4,2017,38.3,East,0,36.1,22.3
P80059,13029,15.5,1652,33.9,East,1,38.6,15.9
P80060,6295,19.7,2109,48.0,Midlands,0,34.3,27.9
P80061,7290,30.5,800,6.2,Yorkshire,0,43.1,16.3
P80062,4601,23.2,2260,5.7,Yorkshire,0,36.8,17.8
P80063,4398,16.0,1104,16.3,South West,1,47.9,20.6
P80064,12009,25.2,1655,15.3,North East,0,42.2,23.7
P80065,15761,15.6,1352,14.6,North West,1,46.3,16.9
P80066,7717,5.8,1282,45.6,Midlands,0,39.8,21.8
P80067,13213,12.0,2264,14.7,Yorkshire,0,39.8,25.5
P80068,9585,6.8,1613,15.8,South East,0,46.5,17.2
P80069,5794,15.9,1939,38.7,London,1,32.3,24.3
P80070,9584,18.1,1781,24.1,North East,1,36.4,10.4
P80071,17261,28.1,1991,39.5,East,0,32.3,25.8
P80072,7857,20.0,1831,6.1,North East,0,39.7,13.4
P80073,17492,16.7,1287,25.9,Yorkshire,0,42.0,24.9
