month,total_appointments,face_to_face,telephone,online_other
2025-07-01,29348357,17034497,8554136,3759724
2025-08-01,27530867,16586676,6972234,3971957
2025-09-01,28823844,17098145,8431785,3293914
2025-10-01,31361514,18162171,8214731,4984612
2025-11-01,31382923,19180780,7988636,4213507
2025-12-01,31082931,17529199,9835322,3718410
2026-01-01,31689606,18355078,10064436,3270092
2026-02-01,32183717,18880132,9867135,3436450
2026-03-01,32165262,19157855,8727174,4280233
2026-04-01,31771280,19968808,8160041,3642431
2026-05-01,29168291,16624974,8689126,3854191
2026-06-01,27667135,16639663,7769226,3258246
