practice_id,region,list_size,imd_score,pct_over_65,patients_per_gp,pct_same_day,dna_rate
P000,Midlands,5694,30.6,25.0,1410.0,38.2,3.4
P001,South West,8985,20.4,19.5,2221.0,51.8,2.1
P002,South East,9262,21.8,20.0,1420.0,48.3,5.7
P003,London,5597,12.0,15.5,2853.0,40.2,4.4
P004,North West,20334,21.8,15.1,1997.0,43.7,3.2
P005,North West,10138,19.1,15.4,1874.0,45.6,6.5
P006,North East,4409,25.2,20.4,1457.0,48.6,5.2
P007,South East,11108,13.7,15.5,2080.0,47.7,2.9
P008,London,4914,27.2,19.7,1570.0,44.9,1.2
P009,London,11857,37.3,30.5,1849.0,42.5,7.2
P010,North East,14278,20.9,23.2,2824.0,35.9,1.8
P011,South West,5307,26.0,16.0,1762.0,51.6,2.3
P012,South East,12950,28.9,25.2,2260.0,39.4,5.3
P013,North West,9833,18.0,15.6,1519.0,53.5,6.6
P014,North West,12066,24.2,5.8,1786.0,41.8,6.3
P015,North West,20652,22.1,12.0,2508.0,47.5,4.8
P016,Midlands,7076,23.0,6.8,1549.0,47.9,5.2
P017,London,5488,14.3,15.9,2525.0,29.6,4.4
P018,East,5127,22.2,18.1,2083.0,44.3,4.8
P019,Midlands,5320,27.0,28.1,1575.0,39.6,4.1
P020,London,7697,36.5,20.0,2053.0,40.6,5.0
P021,North West,9487,31.6,16.7,2189.0,35.4,4.6
P022,Midlands,9186,43.5,23.0,2049.0,35.6,4.4
P023,Midlands,12097,14.3,4.7,1172.0,43.4,3.6
P024,East,8052,30.7,19.4,1509.0,44.5,2.5
P025,South East,16547,23.8,22.6,1701.0,33.5,3.7
P026,North West,7008,43.9,9.1,1770.0,33.8,4.9
P027,London,31172,13.9,24.9,2048.0,42.7,1.5
P028,London,10938,13.6,20.0,1871.0,45.2,3.3
P029,North East,5211,16.0,15.5,1266.0,51.8,5.2
P030,London,4683,2.0,21.8,1952.0,37.2,3.2
P031,North West,10182,16.7,31.6,2044.0,38.9,0.9
P032,North East,7154,14.4,19.1,2024.0,43.1,2.0
P033,South West,11432,23.5,19.5,2232.0,38.2,5.0
P034,South West,10135,25.4,15.2,2134.0,52.9,3.1
P035,South East,7713,40.8,12.9,1984.0,47.1,5.3
P036,Midlands,5238,31.5,23.0,1772.0,40.7,5.0
P037,North West,3750,16.2,12.9,1136.0,50.3,2.5
P038,London,6399,13.0,18.4,1972.0,41.9,3.2
P039,East,12275,26.9,15.1,1883.0,35.0,2.8
P040,North West,8903,8.8,20.9,1909.0,42.3,1.9
P041,East,4291,40.3,20.0,1289.0,43.5,5.6
P042,North East,8723,33.8,24.2,1368.0,39.4,2.6
P043,South West,9699,17.3,14.9,2221.0,44.6,4.2
P044,Midlands,5142,4.9,16.4,1784.0,56.0,2.5
P045,London,8639,35.5,12.1,2073.0,41.2,5.9
P046,Midlands,8236,20.9,15.3,1811.0,41.8,4.2
P047,London,4517,34.4,20.3,1812.0,41.4,6.4
P048,London,9567,6.1,22.5,2175.0,46.5,2.5
P049,North West,10589,16.0,12.5,1594.0,51.3,3.1
P050,South West,13749,22.1,23.2,1838.0,46.9,3.8
P051,South East,13549,22.5,26.1,1615.0,42.6,4.1
P052,South West,4017,17.5,20.5,1626.0,53.1,3.4
P053,South West,5005,28.2,29.3,1676.0,47.8,3.8
