practice_code,list_size,patients_per_gp,imd_decile,pct_65_plus,pct_same_day,pct_wait_15plus,region
P00000,7946,1398,8,12.1,37.6,19.2,London
P00001,4714,1493,4,23.3,44.5,22.9,East
P00002,12069,1786,9,15.1,32.3,17.6,South West
P00003,4344,1894,10,13.3,31.0,28.8,South West
P00004,8880,2420,4,17.1,43.8,23.2,North East
P00005,3002,1401,10,13.4,33.1,21.8,South West
P00006,4117,2194,2,15.9,46.4,18.9,East
P00007,8827,1714,3,19.7,46.8,15.7,North East
P00008,11573,1780,3,19.7,33.3,21.7,North West
P00009,8715,2070,9,13.5,33.4,22.2,East
P00010,7550,1351,7,15.6,49.8,9.7,London
P00011,6881,1953,2,23.4,37.7,12.5,South East
P00012,3819,1867,5,20.5,38.9,17.7,Midlands
P00013,5581,1997,7,28.4,42.2,21.4,South East
P00014,6354,1916,2,23.9,48.5,16.6,North East
P00015,13571,2782,9,23.7,32.4,29.4,East
P00016,9499,1545,9,11.1,36.5,11.8,Midlands
P00017,3313,1588,6,21.8,50.8,18.5,South West
P00018,9407,1551,10,17.7,49.7,12.9,East
P00019,6598,1578,5,15.2,49.0,20.4,Midlands
P00020,5702,1545,10,18.8,39.8,19.8,Midlands
P00021,10862,2276,7,22.7,33.2,23.0,South West
P00022,13395,2368,7,20.5,32.6,18.2,East
P00023,12744,1572,2,13.6,48.7,20.6,Midlands
P00024,5258,1467,9,21.7,43.0,23.4,North East
P00025,6854,1989,5,14.8,49.5,21.3,North East
P00026,9441,1579,2,19.1,49.4,15.0,South West
P00027,13029,2053,1,16.5,34.9,19.1,Midlands
P00028,6295,1881,6,16.9,47.1,16.3,East
P00029,7290,1194,6,21.8,38.2,19.8,South West
P00030,4601,2419,8,12.8,34.2,29.1,North East
P00031,4398,2518,9,27.7,36.7,27.8,East
P00032,12009,1555,1,8.9,58.4,11.9,North West
P00033,15761,1645,8,15.0,59.0,20.8,North East
P00034,7717,1914,3,19.9,46.7,12.3,North East
P00035,13213,1934,9,20.9,37.0,23.4,East
P00036,9585,2063,9,17.5,40.7,23.5,South West
P00037,5794,2604,6,17.7,42.5,14.5,London
P00038,9584,1729,8,20.1,38.0,15.1,South West
P00039,17261,1481,4,16.8,55.2,15.2,North West
P00040,7857,1248,5,25.0,46.1,14.8,Midlands
P00041,17492,1508,9,22.2,43.2,14.6,North East
P00042,2158,1787,5,22.4,46.1,19.7,South West
P00043,12066,2518,4,13.2,41.7,21.5,North West
P00044,8355,1593,6,17.6,47.3,17.2,South East
P00045,6889,1890,9,16.5,34.6,17.9,North East
P00046,8375,1793,4,13.0,39.5,21.8,Midlands
P00047,2961,2275,3,19.8,34.6,25.5,South East
P00048,7167,2811,8,15.3,37.2,22.1,South East
P00049,9563,1588,9,21.3,44.5,17.3,North East
P00050,16749,1604,2,12.6,48.1,17.6,Midlands
P00051,6173,2218,3,26.6,51.6,17.2,South East
P00052,5339,2073,2,13.5,43.0,16.9,East
P00053,6224,2539,4,19.1,43.1,23.5,North West
P00054,12643,2034,5,22.0,34.3,11.5,East
P00055,9429,1656,8,15.1,38.0,24.7,Midlands
P00056,6138,2036,7,22.3,43.4,20.6,Midlands
P00057,10340,2243,7,11.9,43.3,19.5,East
P00058,8397,2128,4,25.3,39.4,18.6,Midlands
P00059,12984,2003,9,18.1,37.4,21.3,North West
P00060,5631,2227,5,15.0,30.8,13.0,South East
P00061,6791,2268,10,16.5,33.5,29.1,Midlands
P00062,6575,2353,7,22.0,43.0,21.8,London
P00063,3848,2059,2,15.1,46.6,19.2,South East
P00064,9276,1733,7,14.3,43.7,22.9,London
P00065,9115,1859,4,16.9,42.8,13.8,London
P00066,8020,2283,7,12.1,38.0,23.2,East
P00067,7114,1473,1,27.1,42.9,13.4,South East
P00068,3942,1947,3,15.2,47.1,21.0,North West
P00069,6482,1643,9,22.2,42.1,11.5,North East
P00070,6740,1811,3,19.0,46.5,16.6,Midlands
P00071,5356,2311,9,13.1,33.1,20.2,London
P00072,7380,1876,4,18.0,29.5,19.6,North East
P00073,9791,1819,7,21.9,46.9,21.4,North West
P00074,20543,1256,7,17.1,40.2,14.4,North East
