practice_code,region,list_size,imd_score,patients_per_gp,pct_65plus,pct_same_day,dna_rate,abx_per_1000
AA292,North East,13731,1,2598.0,14.3,29.9,10.9,70.5
AB376,Midlands,9114,8,1855.0,20.1,55.2,3.4,42.0
AC645,London,8882,7,1807.0,23.5,40.5,3.8,45.7
AD368,Yorkshire,7928,5,2087.0,19.5,44.4,6.9,67.5
AE724,Yorkshire,6650,5,2487.0,15.9,44.9,4.3,63.6
AF135,South East,7427,9,2199.0,36.0,,2.5,39.3
AG165,East of England,11492,1,2337.0,25.1,27.8,11.8,67.1
AH754,South East,12735,7,1880.0,29.1,61.9,4.6,36.3
AI654,Midlands,11060,3,2429.0,14.0,42.6,7.3,68.6
AJ138,South West,13565,1,2108.0,20.5,43.2,8.4,55.1
AK908,London,8601,6,2003.0,25.4,48.9,4.3,58.9
AL104,North West,5630,10,1593.0,29.2,59.6,1.2,40.0
AM959,South East,6869,8,1838.0,30.8,50.6,2.5,64.4
AN755,Midlands,7349,8,1551.0,27.8,64.9,4.6,36.3
AO988,North West,13056,8,1362.0,28.3,50.5,0.6,43.6
AP953,North West,7157,8,1241.0,27.8,63.9,4.5,58.5
AQ381,London,11276,6,1640.0,23.9,44.6,4.4,61.7
AR780,North East,9394,2,2125.0,8.5,40.9,9.5,63.1
AS289,Yorkshire,10263,9,1606.0,26.2,45.9,0.8,44.4
AT524,North West,10769,5,2484.0,18.2,47.7,8.1,58.8
AU315,Midlands,9286,6,2196.0,15.8,58.6,7.3,57.7
AV536,Midlands,10318,4,1839.0,28.2,45.2,7.8,52.3
AW884,East of England,9890,2,2326.0,26.0,38.8,5.8,65.1
AX492,Yorkshire,8892,10,1498.0,33.8,47.6,2.6,24.9
AY183,North East,7890,8,1688.0,25.9,50.7,3.9,47.0
AZ391,London,6748,7,1886.0,30.2,37.3,1.5,52.2
BA807,Midlands,7444,5,2154.0,21.1,38.4,5.9,55.4
BB569,London,8745,9,1595.0,26.8,56.3,3.0,29.5
BC603,North West,12758,6,2185.0,16.7,57.6,6.2,63.1
BD487,North East,10319,5,1714.0,23.0,70.4,6.1,58.5
BE363,Yorkshire,9762,5,2001.0,21.3,41.8,6.4,50.9
